,codigo,ano,situacao,qtd_feminino,qtd_masculino
917,CALCULO C,2019,APROVADO,0.1904761905,0.25
918,CALCULO C,2019,REP. MEDIA/FALTAS,0.04761904762,0.125
919,CALCULO C,2019,REPROVADO,0,0.1666666667
920,CALCULO C,2019,TRANCADO,0.09523809524,0.04166666667
921,CALCULO C,2020,APROVADO,0.1904761905,0.3333333333
922,CALCULO C,2020,REPROVADO,0,0.125
923,CALCULO C,2020,TRANCADO,0,0.08333333333
924,CALCULO C,2021,APROVADO,0.2380952381,0.375
926,CALCULO C,2021,REPROVADO,0.04761904762,0.125
927,CALCULO C,2021,TRANCADO,0.04761904762,0.08333333333
928,CALCULO C,2022,APROVADO,0.5714285714,0.1666666667
929,CALCULO C,2022,DESISTENCIA,0.09523809524,0.04166666667
931,CALCULO C,2022,REPROVADO,0.2857142857,0.1666666667
936,CALCULO D,2018,APROVADO,0.04761904762,0.125
938,CALCULO D,2019,APROVADO,0.1904761905,0.125
939,CALCULO D,2019,DESISTENCIA,0.09523809524,0.04166666667
941,CALCULO D,2020,APROVADO,0.2380952381,0.2083333333
943,CALCULO D,2020,REPROVADO,0.09523809524,0.08333333333
944,CALCULO D,2021,APROVADO,0.1428571429,0.2916666667
